"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
HST,"7/17/2020 4 p.m. EDT",92,104,0,-92
HST,"7/17/2020 5 p.m. EDT",90,106,0,-90
HST,"7/17/2020 6 p.m. EDT",86,107,0,-86
HST,"7/17/2020 7 p.m. EDT",86,108,0,-86
HST,"7/17/2020 8 p.m. EDT",85,108,0,-85
HST,"7/17/2020 9 p.m. EDT",86,105,0,-86
HST,"7/17/2020 10 p.m. EDT",80,100,0,-80
HST,"7/17/2020 11 p.m. EDT",74,92,0,-74
HST,"7/18/2020 12 a.m. EDT",68,84,0,-68
HST,"7/18/2020 1 a.m. EDT",62,67,0,-62
HST,"7/18/2020 2 a.m. EDT",58,62,0,-58
HST,"7/18/2020 3 a.m. EDT",54,58,0,-54
HST,"7/18/2020 4 a.m. EDT",52,57,0,-52
HST,"7/18/2020 5 a.m. EDT",51,58,0,-51
HST,"7/18/2020 6 a.m. EDT",53,58,0,-53
HST,"7/18/2020 7 a.m. EDT",53,59,0,-53
HST,"7/18/2020 8 a.m. EDT",52,63,0,-52
HST,"7/18/2020 9 a.m. EDT",55,69,0,-55
HST,"7/18/2020 10 a.m. EDT",59,77,0,-59
HST,"7/18/2020 11 a.m. EDT",61,85,0,-61
HST,"7/18/2020 12 p.m. EDT",65,93,0,-65
HST,"7/18/2020 1 p.m. EDT",68,102,0,-68
HST,"7/18/2020 2 p.m. EDT",72,106,0,-72
HST,"7/18/2020 3 p.m. EDT",75,105,0,-75
HST,"7/18/2020 4 p.m. EDT",77,105,0,-77
HST,"7/18/2020 5 p.m. EDT",79,105,0,-79
HST,"7/18/2020 6 p.m. EDT",82,105,0,-82
HST,"7/18/2020 7 p.m. EDT",82,104,0,-82
HST,"7/18/2020 8 p.m. EDT",82,102,0,-82
HST,"7/18/2020 9 p.m. EDT",84,98,0,-84
HST,"7/18/2020 10 p.m. EDT",83,94,0,-83
HST,"7/18/2020 11 p.m. EDT",80,84,0,-80
HST,"7/19/2020 12 a.m. EDT",76,74,0,-76
HST,"7/19/2020 1 a.m. EDT",70,74,0,-70
HST,"7/19/2020 2 a.m. EDT",65,67,0,-65
HST,"7/19/2020 3 a.m. EDT",60,63,0,-60
HST,"7/19/2020 4 a.m. EDT",56,59,0,-56
HST,"7/19/2020 5 a.m. EDT",55,58,0,-55
HST,"7/19/2020 6 a.m. EDT",54,59,0,-54
HST,"7/19/2020 7 a.m. EDT",53,60,0,-53
HST,"7/19/2020 8 a.m. EDT",54,61,0,-54
HST,"7/19/2020 9 a.m. EDT",63,64,0,-63
HST,"7/19/2020 10 a.m. EDT",73,69,0,-73
HST,"7/19/2020 11 a.m. EDT",82,75,0,-82
HST,"7/19/2020 12 p.m. EDT",85,81,0,-85
HST,"7/19/2020 1 p.m. EDT",92,88,0,-92
HST,"7/19/2020 2 p.m. EDT",97,94,0,-97
HST,"7/19/2020 3 p.m. EDT",100,97,0,-100
HST,"7/19/2020 4 p.m. EDT",102,99,0,-102
HST,"7/19/2020 5 p.m. EDT",104,101,0,-104
HST,"7/19/2020 6 p.m. EDT",104,101,0,-104
